Name,TeamName,nationality,price_cr,year
Arjun  Tendulkar ,Mumbai Indians,Indian,0.3,2022
Shikhar Dhawan ,Punjab Kings,Indian,8.25,2022
Kagiso Rabada ,Punjab Kings,Overseas,9.25,2022
Jonny Bairstow  ,Punjab Kings,Overseas,6.75,2022
Rahul Chahar ,Punjab Kings,Indian,5.25,2022
Harpreet  Brar ,Punjab Kings,Indian,3.8,2022
Shahrukh Khan ,Punjab Kings,Indian,9.0,2022
Jitesh Sharma ,Punjab Kings,Indian,0.2,2022
Prabhsimran Singh ,Punjab Kings,Indian,0.6,2022
Ishan Porel ,Punjab Kings,Indian,0.25,2022
Liam Livingstone ,Punjab Kings,Overseas,11.5,2022
Odean Smith ,Punjab Kings,Overseas,6.0,2022
Sandeep Sharma ,Punjab Kings,Indian,0.5,2022
Raj Angad Bawa ,Punjab Kings,Indian,2.0,2022
Rishi Dhawan ,Punjab Kings,Indian,0.55,2022
Nathan Ellis ,Punjab Kings,Overseas,0.75,2022
Prerak Mankad ,Punjab Kings,Indian,0.2,2022
Atharva Taide ,Punjab Kings,Indian,0.2,2022
Vaibhav Arora ,Punjab Kings,Indian,2.0,2022
Bhanuka Rajapaksa ,Punjab Kings,Overseas,0.5,2022
Benny Howell ,Punjab Kings,Overseas,0.4,2022
Writtick Chatterjee ,Punjab Kings,Indian,0.2,2022
Baltej Dhanda ,Punjab Kings,Indian,0.2,2022
Ansh Patel ,Punjab Kings,Indian,0.2,2022
R. Ashwin ,Rajasthan Royals,Indian,5.0,2022
Trent Boult ,Rajasthan Royals,Overseas,8.0,2022
Shimron Hetmyer ,Rajasthan Royals,Overseas,8.5,2022
Devdutt Padikkal ,Rajasthan Royals,Indian,7.75,2022
Prasidh Krishna ,Rajasthan Royals,Indian,10.0,2022
Yuzvendra Chahal ,Rajasthan Royals,Indian,6.5,2022
Riyan Parag ,Rajasthan Royals,Indian,3.8,2022
K.C Cariappa ,Rajasthan Royals,Indian,0.3,2022
James Neesham ,Rajasthan Royals,Overseas,1.5,2022
Nathan Coulter-Nile ,Rajasthan Royals,Overseas,2.0,2022
Navdeep Saini ,Rajasthan Royals,Indian,2.6,2022
Kuldeep  Sen ,Rajasthan Royals,Indian,0.2,2022
Karun Nair ,Rajasthan Royals,Indian,1.4,2022
Rassie Van Der Dussen ,Rajasthan Royals,Overseas,1.0,2022
Daryl Mitchell ,Rajasthan Royals,Overseas,0.75,2022
Obed Mccoy ,Rajasthan Royals,Overseas,0.75,2022
Dhruv Jurel ,Rajasthan Royals,Indian,0.2,2022
Tejas Baroka ,Rajasthan Royals,Indian,0.2,2022
Kuldip Yadav ,Rajasthan Royals,Indian,0.2,2022
Shubham Garhwal ,Rajasthan Royals,Indian,0.2,2022
Anunay Singh ,Rajasthan Royals,Indian,0.2,2022
Faf Du Plessis ,Royal Challengers Bangalore,Overseas,7.0,2022
Wanindu Hasaranga ,Royal Challengers Bangalore,Overseas,10.75,2022
Harshal Patel ,Royal Challengers Bangalore,Indian,10.75,2022
Dinesh  Karthik ,Royal Challengers Bangalore,Indian,5.5,2022
Josh Hazlewood  ,Royal Challengers Bangalore,Overseas,7.75,2022
Shahbaz Ahamad ,Royal Challengers Bangalore,Indian,2.4,2022
Anuj Rawat ,Royal Challengers Bangalore,Indian,3.4,2022
Akash  Deep  ,Royal Challengers Bangalore,Indian,0.2,2022
Karn Sharma ,Royal Challengers Bangalore,Indian,0.5,2022
Mahipal Lomror ,Royal Challengers Bangalore,Indian,0.95,2022
Finn Allen ,Royal Challengers Bangalore,Overseas,0.8,2022
Sherfane Rutherford ,Royal Challengers Bangalore,Overseas,1.0,2022
Jason Behrendorff ,Royal Challengers Bangalore,Overseas,0.75,2022
Siddharth  Kaul ,Royal Challengers Bangalore,Indian,0.75,2022
Suyash Prabhudessai ,Royal Challengers Bangalore,Indian,0.3,2022
Luvnith Sisodia ,Royal Challengers Bangalore,Indian,0.2,2022
Chama Milind ,Royal Challengers Bangalore,Indian,0.25,2022
Aneeshwar Gautam ,Royal Challengers Bangalore,Indian,0.2,2022
David Willey  ,Royal Challengers Bangalore,Overseas,2.0,2022
Washington Sundar ,Sunrisers Hyderabad,Indian,8.75,2022
Nicholas Pooran ,Sunrisers Hyderabad,Overseas,10.75,2022
Bhuvneshwar Kumar ,Sunrisers Hyderabad,Indian,4.2,2022
T. Natarajan ,Sunrisers Hyderabad,Indian,4.0,2022
Priyam  Garg ,Sunrisers Hyderabad,Indian,0.2,2022
Rahul Tripathi ,Sunrisers Hyderabad,Indian,8.5,2022
Abhishek Sharma ,Sunrisers Hyderabad,Indian,6.5,2022
Vishnu Vinod ,Sunrisers Hyderabad,Indian,0.5,2022
Kartik Tyagi ,Sunrisers Hyderabad,Indian,4.0,2022
Shreyas Gopal ,Sunrisers Hyderabad,Indian,0.75,2022
Jagadeesha Suchith ,Sunrisers Hyderabad,Indian,0.2,2022
Aiden Markram ,Sunrisers Hyderabad,Overseas,2.6,2022
Marco Jansen ,Sunrisers Hyderabad,Overseas,4.2,2022
Romario Shepherd ,Sunrisers Hyderabad,Overseas,7.75,2022
Glenn Phillips ,Sunrisers Hyderabad,Overseas,1.5,2022
Fazalhaq Farooqi ,Sunrisers Hyderabad,Overseas,0.5,2022
Sean Abbott ,Sunrisers Hyderabad,Overseas,2.4,2022
R Samarth ,Sunrisers Hyderabad,Indian,0.2,2022
Shashank Singh ,Sunrisers Hyderabad,Indian,0.2,2022
Saurabh Dubey ,Sunrisers Hyderabad,Indian,0.2,2022
Noor Ahmad  ,Chennai Super Kings,Overseas,10.0,2025
Ravichandaran Ashwin,Chennai Super Kings,Indian,9.75,2025
Devon Conway  ,Chennai Super Kings,Overseas,6.25,2025
Syed Khaleel Ahmed,Chennai Super Kings,Indian,4.8,2025
Rachin Ravindra  ,Chennai Super Kings,Overseas,4.0,2025
Anshul Kamboj,Chennai Super Kings,Indian,3.4,2025
Rahul Tripathi,Chennai Super Kings,Indian,3.4,2025
Sam Curran  ,Chennai Super Kings,Overseas,2.4,2025
Gurjapneet Singh,Chennai Super Kings,Indian,2.2,2025
Nathan Ellis  ,Chennai Super Kings,Overseas,2.0,2025
Deepak Hooda,Chennai Super Kings,Indian,1.7,2025
Jamie Overton  ,Chennai Super Kings,Overseas,1.5,2025
Vijay Shankar,Chennai Super Kings,Indian,1.2,2025
Vansh Bedi,Chennai Super Kings,Indian,0.55,2025
Andre Siddarth,Chennai Super Kings,Indian,0.3,2025
Shreyas Gopal,Chennai Super Kings,Indian,0.3,2025
Ramakrishna Ghosh,Chennai Super Kings,Indian,0.3,2025
Kamlesh Nagarkoti,Chennai Super Kings,Indian,0.3,2025
Mukesh Choudhary,Chennai Super Kings,Indian,0.3,2025
Shaik Rasheed,Chennai Super Kings,Indian,0.3,2025
KL Rahul,Delhi Capitals,Indian,14.0,2025
Mitchell Starc  ,Delhi Capitals,Overseas,11.75,2025
T. Natarajan,Delhi Capitals,Indian,10.75,2025
Jake Fraser-Mcgurk  ,Delhi Capitals,Overseas,9.0,2025
Mukesh Kumar,Delhi Capitals,Overseas,8.0,2025
Harry Brook  ,Delhi Capitals,Overseas,6.25,2025
Ashutosh Sharma,Delhi Capitals,Indian,3.8,2025
Mohit Sharma,Delhi Capitals,Indian,2.2,2025
Faf Du Plessis  ,Delhi Capitals,Overseas,2.0,2025
Sameer Rizvi,Delhi Capitals,Indian,0.95,2025
Donovan Ferreira  ,Delhi Capitals,Overseas,0.75,2025
Dushmantha Chameera  ,Delhi Capitals,Overseas,0.75,2025
Vipraj Nigam,Delhi Capitals,Indian,0.5,2025
Karun Nair,Delhi Capitals,Indian,0.5,2025
Madhav Tiwari,Delhi Capitals,Indian,0.4,2025
Tripurana Vijay,Delhi Capitals,Indian,0.3,2025
Manvanth Kumar L,Delhi Capitals,Indian,0.3,2025
Ajay Mandal,Delhi Capitals,Indian,0.3,2025
Darshan Nalkande,Delhi Capitals,Indian,0.3,2025
Jos  Buttler   ,Gujarat Titans,Overseas,15.75,2025
Mohammad Siraj,Gujarat Titans,Indian,12.25,2025
Kagiso Rabada  ,Gujarat Titans,Overseas,10.75,2025
Prasidh Krishna,Gujarat Titans,Indian,9.5,2025
Washington Sundar,Gujarat Titans,Indian,3.2,2025
Sherfane Rutherford  ,Gujarat Titans,Overseas,2.6,2025
Gerald Coetzee  ,Gujarat Titans,Overseas,2.4,2025
Glenn Phillips  ,Gujarat Titans,Overseas,2.0,2025
R. Sai Kishore,Gujarat Titans,Overseas,2.0,2025
Mahipal Lomror,Gujarat Titans,Indian,1.7,2025
Gurnoor Singh Brar,Gujarat Titans,Indian,1.3,2025
Mohd. Arshad Khan,Gujarat Titans,Indian,1.3,2025
Karim Janat  ,Gujarat Titans,Overseas,0.75,2025
Jayant Yadav,Gujarat Titans,Indian,0.75,2025
Ishant Sharma,Gujarat Titans,Indian,0.75,2025
Kumar Kushagra,Gujarat Titans,Indian,0.65,2025
Kulwant Khejroliya,Gujarat Titans,Indian,0.3,2025
Manav Suthar,Gujarat Titans,Indian,0.3,2025
Anuj Rawat,Gujarat Titans,Indian,0.3,2025
Nishant Sindhu,Gujarat Titans,Indian,0.3,2025
Venkatesh Iyer,Kolkata Knight Riders,Indian,23.75,2025
Anrich Nortje  ,Kolkata Knight Riders,Overseas,6.5,2025
Quinton De Kock  ,Kolkata Knight Riders,Overseas,3.6,2025
Angkrish Raghuvanshi,Kolkata Knight Riders,Indian,3.0,2025
Spencer Johnson  ,Kolkata Knight Riders,Overseas,2.8,2025
Moeen Ali  ,Kolkata Knight Riders,Overseas,2.0,2025
Rahmanullah Gurbaz  ,Kolkata Knight Riders,Overseas,2.0,2025
Vaibhav Arora,Kolkata Knight Riders,Indian,1.8,2025
Ajinkya Rahane,Kolkata Knight Riders,Indian,1.5,2025
Rovman Powell  ,Kolkata Knight Riders,Overseas,1.5,2025
Umran  Malik,Kolkata Knight Riders,Indian,0.75,2025
Manish Pandey,Kolkata Knight Riders,Indian,0.75,2025
Anukul Roy,Kolkata Knight Riders,Indian,0.4,2025
Luvnith Sisodia,Kolkata Knight Riders,Indian,0.3,2025
Mayank Markande,Kolkata Knight Riders,Indian,0.3,2025
Rishabh Pant,Lucknow Super Giants,Indian,27.0,2025
Avesh Khan,Lucknow Super Giants,Indian,9.75,2025
Akash Deep,Lucknow Super Giants,Indian,8.0,2025
David Miller  ,Lucknow Super Giants,Overseas,7.5,2025
Abdul Samad,Lucknow Super Giants,Indian,4.2,2025
Mitchell Marsh  ,Lucknow Super Giants,Overseas,3.4,2025
Shahbaz Ahamad,Lucknow Super Giants,Indian,2.4,2025
Aiden Markram  ,Lucknow Super Giants,Overseas,2.0,2025
Matthew Breetzke  ,Lucknow Super Giants,Overseas,0.75,2025
Shamar Joseph  ,Lucknow Super Giants,Overseas,0.75,2025
M. Siddharth,Lucknow Super Giants,Indian,0.75,2025
Arshin Kulkarni,Lucknow Super Giants,Indian,0.3,2025
Rajvardhan Hangargekar,Lucknow Super Giants,Indian,0.3,2025
Yuvraj Chaudhary,Lucknow Super Giants,Indian,0.3,2025
Prince Yadav,Lucknow Super Giants,Indian,0.3,2025
Akash Singh,Lucknow Super Giants,Indian,0.3,2025
Digvesh Singh,Lucknow Super Giants,Indian,0.3,2025
Himmat Singh,Lucknow Super Giants,Indian,0.3,2025
Aryan Juyal,Lucknow Super Giants,Indian,0.3,2025
Trent Boult  ,Mumbai Indians,Overseas,12.5,2025
Deepak Chahar,Mumbai Indians,Indian,9.25,2025
Will Jacks  ,Mumbai Indians,Overseas,5.25,2025
Naman Dhir,Mumbai Indians,Overseas,5.25,2025
Allah  Ghazanfar  ,Mumbai Indians,Overseas,4.8,2025
Mitchell Santner  ,Mumbai Indians,Overseas,2.0,2025
Ryan Rickelton  ,Mumbai Indians,Overseas,1.0,2025
Lizaad Williams  ,Mumbai Indians,Overseas,0.75,2025
Reece Topley  ,Mumbai Indians,Overseas,0.75,2025
Robin Minz,Mumbai Indians,Indian,0.65,2025
Karn Sharma,Mumbai Indians,Indian,0.5,2025
Vignesh Puthur,Mumbai Indians,Indian,0.3,2025
Arjun  Tendulkar,Mumbai Indians,Indian,0.3,2025
Bevan John Jacobs  ,Mumbai Indians,Overseas,0.3,2025
Venkata Satyanarayana Penmetsa,Mumbai Indians,Indian,0.3,2025
Raj Angad Bawa,Mumbai Indians,Indian,0.3,2025
Shrijith Krishnan,Mumbai Indians,Indian,0.3,2025
Ashwani Kumar,Mumbai Indians,Indian,0.3,2025
Shreyas Iyer,Punjab Kings,Indian,26.75,2025
Yuzvendra Chahal,Punjab Kings,Indian,18.0,2025
Arshdeep Singh,Punjab Kings,Overseas,18.0,2025
Marcus Stoinis  ,Punjab Kings,Overseas,11.0,2025
Marco Jansen  ,Punjab Kings,Overseas,7.0,2025
Nehal Wadhera,Punjab Kings,Indian,4.2,2025
Glenn Maxwell  ,Punjab Kings,Overseas,4.2,2025
Priyansh Arya,Punjab Kings,Indian,3.8,2025
Josh Inglis  ,Punjab Kings,Overseas,2.6,2025
Azmatullah Omarzai  ,Punjab Kings,Overseas,2.4,2025
Lockie Ferguson  ,Punjab Kings,Overseas,2.0,2025
Vyshak Vijaykumar,Punjab Kings,Indian,1.8,2025
Yash Thakur,Punjab Kings,Indian,1.6,2025
Harpreet  Brar,Punjab Kings,Indian,1.5,2025
Aaron Hardie  ,Punjab Kings,Overseas,1.25,2025
Vishnu Vinod,Punjab Kings,Indian,0.95,2025
Xavier Bartlett  ,Punjab Kings,Overseas,0.8,2025
Kuldeep  Sen,Punjab Kings,Indian,0.8,2025
Pravin Dubey,Punjab Kings,Indian,0.3,2025
Pyla Avinash,Punjab Kings,Indian,0.3,2025
Suryansh  Shedge ,Punjab Kings,Indian,0.3,2025
Musheer Khan,Punjab Kings,Indian,0.3,2025
Harnoor Pannu,Punjab Kings,Indian,0.3,2025
Jofra Archer  ,Rajasthan Royals,Overseas,12.5,2025
Tushar Deshpande,Rajasthan Royals,Indian,6.5,2025
Wanindu Hasaranga  ,Rajasthan Royals,Overseas,5.25,2025
Maheesh Theekshana  ,Rajasthan Royals,Overseas,4.4,2025
Nitish Rana,Rajasthan Royals,Indian,4.2,2025
Fazalhaq Farooqi  ,Rajasthan Royals,Overseas,2.0,2025
Kwena Maphaka  ,Rajasthan Royals,Overseas,1.5,2025
Akash Madhwal,Rajasthan Royals,Indian,1.2,2025
Vaibhav Suryavanshi,Rajasthan Royals,Indian,1.1,2025
Shubham Dubey,Rajasthan Royals,Indian,0.8,2025
Yudhvir Charak,Rajasthan Royals,Indian,0.35,2025
Ashok Sharma,Rajasthan Royals,Indian,0.3,2025
Kunal Rathore,Rajasthan Royals,Indian,0.3,2025
Kumar Kartikeya Singh,Rajasthan Royals,Indian,0.3,2025
Josh Hazlewood   ,Royal Challengers Bangalore,Overseas,12.5,2025
Phil Salt  ,Royal Challengers Bangalore,Overseas,11.5,2025
Jitesh Sharma,Royal Challengers Bangalore,Indian,11.0,2025
Bhuvneshwar Kumar,Royal Challengers Bangalore,Indian,10.75,2025
Liam Livingstone  ,Royal Challengers Bangalore,Overseas,8.75,2025
Rasikh Dar,Royal Challengers Bangalore,Indian,6.0,2025
Krunal Pandya,Royal Challengers Bangalore,Indian,5.75,2025
Tim David  ,Royal Challengers Bangalore,Overseas,3.0,2025
Jacob Bethell  ,Royal Challengers Bangalore,Overseas,2.6,2025
Suyash Sharma,Royal Challengers Bangalore,Indian,2.6,2025
Devdutt Padikkal,Royal Challengers Bangalore,Indian,2.0,2025
Nuwan Thushara  ,Royal Challengers Bangalore,Overseas,1.6,2025
Romario Shepherd  ,Royal Challengers Bangalore,Overseas,1.5,2025
Lungisani Ngidi  ,Royal Challengers Bangalore,Overseas,1.0,2025
Swapnil Singh,Royal Challengers Bangalore,Overseas,0.5,2025
Mohit Rathee,Royal Challengers Bangalore,Indian,0.3,2025
Abhinandan Singh,Royal Challengers Bangalore,Indian,0.3,2025
Swastik Chhikara,Royal Challengers Bangalore,Indian,0.3,2025
Manoj Bhandage,Royal Challengers Bangalore,Indian,0.3,2025
Ishan Kishan,Sunrisers Hyderabad,Indian,11.25,2025
Mohammad Shami,Sunrisers Hyderabad,Indian,10.0,2025
Harshal Patel,Sunrisers Hyderabad,Indian,8.0,2025
Abhinav Manohar,Sunrisers Hyderabad,Indian,3.2,2025
Rahul Chahar,Sunrisers Hyderabad,Indian,3.2,2025
Adam Zampa  ,Sunrisers Hyderabad,Overseas,2.4,2025
Simarjeet Singh,Sunrisers Hyderabad,Indian,1.5,2025
Eshan Malinga  ,Sunrisers Hyderabad,Overseas,1.2,2025
Brydon Carse  ,Sunrisers Hyderabad,Overseas,1.0,2025
Jaydev Unadkat,Sunrisers Hyderabad,Indian,1.0,2025
Kamindu Mendis  ,Sunrisers Hyderabad,Overseas,0.75,2025
Zeeshan Ansari,Sunrisers Hyderabad,Indian,0.4,2025
Sachin Baby,Sunrisers Hyderabad,Indian,0.3,2025
Aniket Verma,Sunrisers Hyderabad,Indian,0.3,2025
Atharva Taide,Sunrisers Hyderabad,Indian,0.3,2025
